Laby Size = 16
Start = (1, 1)
Goal = (8, 8)
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1
1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1
1	0	1	0	1	0	1	1	1	1	1	1	0	1	0	1
1	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1
1	0	1	0	1	0	1	0	1	1	0	1	0	1	0	1
1	0	1	0	1	0	1	0	0	1	0	1	0	1	0	1
1	0	1	0	1	0	1	1	1	1	0	1	0	1	0	1
1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1
1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1
1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1
1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1

