18
ABCDEFGHIJKLMNOPQR
-1	+1	-1	-1	-1	-1	-1	+1	+1	+1	-1	-1	-1	-1	-1	-1	-1	-1
+1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	+1	-1	+1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	+1	-1	+1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	+1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	+1	+1	+1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1
+1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
+1	-1	-1	-1	-1	-1	+1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1
+1	-1	-1	-1	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	+1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	+1	-1	+1	-1	-1	-1	+1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	+1	+1	-1	+1	-1	+1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	+1	-1	-1	+1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	+1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	+1	+1	+1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	+1	-1	+1	-1	-1	-1	-1	-1

//2011 lecturenote, BBC
